項目:	均質			蛋白			整面			烤箱烘焙			裝飾		
	項目	動作	數值/狀態	項目	動作	數值/狀態	項目	動作	數值/狀態	項目	動作	數值/狀態	項目	動作	數值
重乳	乳酪溫度		14.7℃	蛋白是否經冷凍		否	填模重量	秤重	依口味/規格	烘烤溫度	計溫	230℃/120℃	烙鐵溫度	測溫	190℃~210℃
份量：3層	乳酪均質時間		8'49	蛋白溫度	測溫	6~8℃	填模不沾邊	目測確認	不沾邊	烘烤時間	計時	進爐25分轉盤後再烤35到40分	烙印顏色	目測確認	依色卡
	蛋黃是否經冷凍		否	快速打發	計時	5'20	模具是否噴油	目測確認	有	水量	計量	3000/3500ml	烙印時間	默數計時	1.5~3秒
	過篩後是否結粒	目測狀態	否	中速打發	計時	4'15	圍邊紙是否黏合	目測確認	有	進爐時間					
	確認乳酪重量	秤重	依品項/口味	蛋白霜比重	量比重	68g~70g	放餡料	秤重	依口味/規格	出爐熟度	觸摸確認	中心回彈			
				打發後蛋白	測溫	10~13℃	整面	筷子切泡	約3圈	出爐顏色	目測確認	符合色卡4~6			
				乳酪糊溫度	測溫	14.7℃	敲氣泡	敲桌子	大約20下	小小出爐溫度		78℃			
				確認乳酪重量	秤重	依品項/口味	放烤盤前	目測確認	表面無粗泡						
				蛋白霜重量	秤重	依品項/口味									
				拌合次數	計數	55~60下									
				最終麵糊	目測確認	均勻光澤細緻									
天使	乳酪溫度		11.7℃	蛋白是否經冷凍		否	填模重量	秤重		烘烤溫度	計溫	230℃/120℃			
份量：22顆	乳酪均質時間		3'06	蛋白溫度	測溫	6~8℃	填模不沾邊	目測確認	不沾邊	烘烤時間	計時	15+30分			
	蛋黃是否經冷凍		否	快速打發	計時	3'40	圍邊紙是否黏合	目測確認	有	水量	計量	3000ml			
				中速打發	計時	2'15	整面	筷子切泡	約3圈	進爐時間					
				打發完成	量比重	45g~48g	敲氣泡	敲桌子	大約20下	出爐熟度	觸摸狀態	中心堅挺回彈			
				打發後蛋白	測溫	10~13℃	放烤盤前	目測確認	表面無粗泡	出爐顏色	目測確認	色卡2~6			
				乳酪糊溫度	測溫	14.7℃									
				拌合次數	計數	55~60下									
				最終麵糊	目測確認	均勻光澤細緻									
布朗尼	蛋黃是否經冷凍		否	蛋白是否經冷凍		否	填模重量	秤重	依規格	烘烤溫度	計溫	170℃/140℃			
份量：22顆	蛋黃溫度	測溫	6~8℃	蛋白溫度	測溫	6~8℃	填模不沾邊	目測確認	不沾邊	烘烤時間	計時	25~30分			
	快速打發	計時	4'50	快速打發	計時	4'50				加冷水	計量	2000ml			
	中速打發	計時	2'15	中速打發	計時	2'15				進爐時間					
	打發完成	目測確認	緞帶狀	打發完成	量比重	60g~64g				出爐熟度	觸摸確認	中心略軟			
	奶鍋溫度	測溫	50~55℃	打發後蛋白	測溫	10~13℃									
	拌合次數	計數	25~30下	拌合次數	計數	55~60下									
	蛋黃麵糊	目測確認	略分離無結粒	最終麵糊	目測確認	均勻光澤滑順									
				最終麵糊	測溫	36~40℃									
巴斯克	乳酪溫度		14.7℃		無		填模重量	秤重	依規格	烘烤溫度	計溫	230℃/170℃			
份量：22顆	乳酪均質時間		8'49				填模不沾邊	目測確認	不沾邊	烘烤時間	計時	25+10分			
										出爐熟度	觸摸確認	中心回彈			
